2022-12-18T09:19:44.033445+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:23:44.965554+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:28:38.730879+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:30:32.649977+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:37:17.218961+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:38:52.397121+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:42:46.694865+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:43:34.256247+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:46:41.708793+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:51:59.540223+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:54:02.542252+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:55:03.272722+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:58:31.021150+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T09:58:59.373410+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T10:01:01.964621+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T10:02:24.603286+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T10:05:21.455236+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T10:05:47.180407+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T10:06:12.205949+0800 | CRITICAL | step1 开始: 对12个encoder。分三个块进行FPI
2022-12-18T10:27:38.525688+0800 | CRITICAL | step1 开始: 对12个decoder。分三个块进行FPI
2022-12-18T10:27:38.725688+0800 | INFO | 正在执行Copy扩展col
2022-12-18T10:27:38.727687+0800 | INFO | wte.weight:  torch.Size([50257, 768])  -->  torch.Size([50257, 1024])
2022-12-18T10:27:38.733689+0800 | INFO | 正在执行Copy扩展col
2022-12-18T10:27:38.735688+0800 | INFO | wpe.weight:  torch.Size([1024, 768])  -->  torch.Size([1024, 1024])
2022-12-18T10:27:38.736688+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.737687+0800 | INFO | dict_keys(['wte.weight', 'wpe.weight'])
2022-12-18T10:27:38.780688+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.782689+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.785690+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.786690+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.789690+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.790689+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.793689+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.794690+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.797691+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.798724+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.801691+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.802690+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.805691+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.806727+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.809691+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.810690+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.814689+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.815689+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.819688+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.820689+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.823687+0800 | CRITICAL | 导入参数
2022-12-18T10:27:38.824689+0800 | INFO | dict_keys([])
2022-12-18T10:27:38.826689+0800 | CRITICAL | step2 开始: 使用FPI策略扩展FFN或MHA(如果需要的话)
2022-12-18T10:27:38.827690+0800 | CRITICAL | MHA扩展开始
2022-12-18T10:30:50.864045+0800 | CRITICAL | step1 开始: 对12个decoder。分三个块进行FPI
2022-12-18T10:30:51.104048+0800 | INFO | 正在执行Copy扩展col
2022-12-18T10:30:51.106046+0800 | INFO | wte.weight:  torch.Size([50257, 768])  -->  torch.Size([50257, 1024])
2022-12-18T10:30:51.112044+0800 | INFO | 正在执行Copy扩展col
2022-12-18T10:30:51.113046+0800 | INFO | wpe.weight:  torch.Size([1024, 768])  -->  torch.Size([1024, 1024])
2022-12-18T10:30:51.115045+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.116045+0800 | INFO | dict_keys(['wte.weight', 'wpe.weight'])
2022-12-18T10:30:51.162046+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.164046+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.168047+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.169046+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.173046+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.174047+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.177046+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.178046+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.182046+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.183045+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.186046+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.187046+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.190045+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.191046+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.194047+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.196047+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.199046+0800 | CRITICAL | 导入参数
2022-12-18T10:30:51.200046+0800 | INFO | dict_keys([])
2022-12-18T10:30:51.203046+0800 | CRITICAL | 导入参数
